Week,Butter (£/tonnes) 2016,Cheese (£/tonnes) 2016,Potatoes (maincrop; £/tonnes) 2016,Potatoes (earlies; £/tonnes) 2016,Butter (£/tonnes) 2015,Cheese (£/tonnes) 2015,Potatoes (maincrop; £/tonnes) 2015,Potatoes (earlies; £/tonnes) 2015,Butter (£/tonnes) 2014,Cheese (£/tonnes) 2014,Potatoes (maincrop; £/tonnes) 2014,Potatoes (earlies; £/tonnes) 2014,Butter (£/tonnes) 2013,Cheese (£/tonnes) 2013,Potatoes (maincrop; £/tonnes) 2013,Potatoes (earlies; £/tonnes) 2013
1,1909,2125,,,2210,2450,,,3450,3400,160.54,,,2900,223.3,
2,2027.9,2125,154.69,,2189.2,2450,115.21,,3330,3400,151,,2720,2900,227.93,
3,2102.3,2025,153.91,,2240.7,2400,115.74,,3286.1,3400,153.98,,2689.2,2900,245.37,
4,2123.7,2025,154.43,,2167.8,2400,114.76,,3150,3400,152.71,,2690,2900,229.16,
5,2050.7,1975,150.33,,2216.7,2350,111.08,,3505.7,3400,152.15,,2756.5,2975,228.55,
6,1675.7,1975,156.57,,2169.8,2350,121.47,,3187.2,3350,151.61,,2761.6,2975,233.6,
7,1992.9,1925,160.54,,2232.1,2400,120.04,,3338.1,3350,153.05,,2750.7,2975,240.02,
8,2016,1925,160.32,,2179.9,2400,125.2,,2971.7,3300,148.2,,2765.4,2975,238.68,
9,2089.3,1875,161.87,,2279.7,2400,115.18,,2960.9,3300,152.24,,2751.3,2975,235.63,
10,1995.7,1875,166.48,,2256.7,2400,121.81,,2969.4,3300,153.53,,2718.8,2975,251.43,
11,2017,1825,172.94,,2236.9,2400,124.34,,2970.9,3200,154.02,,,2975,243.88,
12,1912.9,1825,171.96,,2287.5,2400,125.7,,2899.5,3200,153.62,,2994.6,2975,248.66,
13,,,,,2229.8,2400,122.29,,2895.4,3150,154.88,,2287,2975,268.01,
14,,,,,2305.6,2400,129.76,,2827.3,3150,159.87,,,2975,265.4,
15,,,,,2305.6,2400,127.82,,2862.1,3100,158.3,,,2975,267.76,
16,,,,,2240,2400,127.71,,2868.1,3100,154.17,,2884.6,2975,279.66,
17,,,,,2190.3,2400,131.05,929.17,3259.3,3100,156.05,,2833.1,3025,295.26,
18,,,,,2211.9,2400,135.51,539.05,2844.1,3000,156.47,921.74,,3025,285.17,
19,,,,,2220.2,2350,137.49,400.6,2837.2,3000,158.31,612.3,,3150,303.03,
20,,,,,2190.8,2350,134.64,382.94,2791.4,3000,160.35,459.58,3182,3150,295.35,
21,,,,,2386.7,2350,132.73,383.45,2855,3000,159.68,387.64,2932.6,3200,277.36,
22,,,,,2186.5,2350,146.96,349,3264.9,3000,160.94,299.46,,3200,300.26,
23,,,,,2187.2,2300,148.26,270.88,2817.3,3000,160.2,227.69,3463.5,3200,280.33,630.47
24,,,,,2396.4,2300,150.94,264.82,2749,3000,157,187.76,3450,3200,257.24,549.48
25,,,,,2182.3,2300,153.66,278.51,2751.9,3000,155.69,161.62,3425,3200,286.38,444.14
26,,,,,2175.3,2300,164.29,230.25,2620.1,3000,146.05,161.96,3449.5,3200,301.94,319.13
27,,,,,2195.2,2300,162.6,246.31,2855,3000,,143.89,3436.3,3200,,261.37
28,,,,,2305.2,2300,173.74,214.37,2950,3000,,115.94,3450,3200,,226.71
29,,,,,2155.1,2250,,229.82,2650,3000,,139.61,3424.4,3300,,188.73
30,,,,,2181.7,2250,,,2900,3000,161.35,132.8,3663.3,3300,,180.54
31,,,,,2173.9,,185.14,,2800,3000,155.18,,3515.8,3300,,
32,,,,,2100.7,,187.02,,2757.8,3000,143.56,,3501,3300,182.14,
33,,,,,2016.9,2250,174.56,,2800,3000,145.53,,3600,3350,169.68,
34,,,,,,2250,164.43,,2788.9,3000,148.44,,3563.9,3350,171.83,
35,,,,,,2150,166.27,,2788,3000,139.97,,3550,3450,167.02,
36,,,,,2670,2150,152.4,,2813.6,2950,137.94,,3525,3450,161.21,
37,,,,,2238.8,2200,162.32,,2670.6,2950,131.91,,3686.8,3450,166.28,
38,,,,,,2200,151.51,,2800,2850,130.15,,3796.3,3450,161.8,
39,,,,,1947,2100,150.62,,2910.2,2850,118.54,,3717.8,3450,154.39,
40,,,,,2039.2,2100,144.75,,2910.2,2750,119.07,,3641.7,3450,137.98,
41,,,,,1943.7,2100,141.2,,2280.6,2750,119.23,,3640,3450,136.14,
42,,,,,2148.3,2100,139.18,,2280.6,2650,116.25,,3572.8,3450,133.92,
43,,,,,1986.7,2125,140.21,,2293.3,2650,113.49,,3682.2,3450,135.08,
44,,,,,2294.5,2125,136.73,,2299.1,2550,109.53,,3644.2,3450,134.6,
45,,,,,2079.1,2125,139.87,,2287,2550,112.9,,3548,3500,141.73,
46,,,,,1986.4,2125,141.97,,,2450,113.72,,3439.2,3500,144.87,
47,,,,,2039.2,2125,137.86,,2358.3,2450,114.5,,3521.8,3450,144.35,
48,,,,,2015.1,2125,144.46,,2250,2450,112.17,,3513.4,3450,147.5,
49,,,,,1992,2125,149.57,,,2450,113.7,,3532,3450,148.99,
50,,,,,,2125,149.15,,,,118.84,,,3450,150.52,
51,,,,,,,146.53,,,,114.35,,3774.7,3450,,
52,,,,,,,146.53,,,,,,,3450,,
